Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;hr-1;hr-1-text;hr-1-quantised;hr-2;hr-2-text;hr-2-quantised;hr-3-1;hr-3-2;hr-3-3;hr-4;hr-4-text;hr-4-quantised;hr-5;hr-5-text;hr-5-quantised;hr-6;hr-6-text;hr-6-quantised;END QUESTIONNAIRE
1;1641168276582;03/01/2022 00:04:36;1641168276117;2;03/01/2022 02:04:36;55551;22;questionnaire-79hv;;18264972;BLIND;5411218;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;5760x1080;4147x638;Openminded Chunk;Heuristic reasoning (Finnish);3;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;220741
1;1640804569715;29/12/2021 19:02:49;1640804570107;2;29/12/2021 21:02:50;55551;22;questionnaire-79hv;;18239985;BLIND;5388970;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1440x900;1152x631;Openminded Chunk;Heuristic reasoning (Finnish);3;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;107083
1;1640793157656;29/12/2021 15:52:37;1640793156741;2;29/12/2021 17:52:36;55551;22;questionnaire-79hv;;18237533;BLIND;5387595;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 96.0.1054.62;1536x864;1396x685;Openminded Chunk;Heuristic reasoning (Finnish);3;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;HTHTHT;;2;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;273709
1;1640708320706;28/12/2021 16:18:40;1640708320482;2;28/12/2021 18:18:40;55551;22;questionnaire-79hv;;18228799;BLIND;5384429;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1440x900;1440x764;Openminded Chunk;Heuristic reasoning (Finnish);3;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;171651
1;1640611614998;27/12/2021 13:26:54;1640611611330;2;27/12/2021 15:26:51;55551;22;questionnaire-79hv;;18217634;BLIND;5380940;;live;;;computer;Desktop or Laptop;Windows 10;Edge 96.0.1054.62;1536x864;1536x754;Decision Chunk;Heuristic reasoning (Finnish);3;IJHKGLFMENDACB;Decision Chunk;;;;No;Kuudes lapsi on tyttö;;1;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;739119
1;1640608242598;27/12/2021 12:30:42;1640608242637;2;27/12/2021 14:30:42;55551;22;questionnaire-79hv;;18216822;BLIND;5380955;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1366x768;1366x625;Openminded Chunk;Heuristic reasoning (Finnish);3;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;131024
1;1640297290463;23/12/2021 22:08:10;1640297290289;2;24/12/2021 00:08:10;55551;22;questionnaire-79hv;;18199756;BLIND;5375463;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1920x1080;1920x1000;Openminded Chunk;Heuristic reasoning (Finnish);3;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;311252
1;1640195796298;22/12/2021 17:56:36;1640195796472;2;22/12/2021 19:56:36;55551;22;questionnaire-79hv;;18187252;BLIND;5372338;;live;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;640x360;640x295;Reasoning Chunk;Heuristic reasoning (Finnish);3;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;417450
1;1640099714994;21/12/2021 15:15:14;1640099714868;2;21/12/2021 17:15:14;55551;22;questionnaire-79hv;;18168944;BLIND;5355205;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 96.0.4664.110;1280x800;1280x697;Openminded Chunk;Heuristic reasoning (Finnish);3;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kuudes lapsi on tyttö;;1;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Lääkehoitoa;;1;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;186213
1;1640070508488;21/12/2021 07:08:28;1640070509193;2;21/12/2021 09:08:29;55551;22;questionnaire-79hv;;18160387;BLIND;5358132;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1600x900;1600x757;Reasoning Chunk;Heuristic reasoning (Finnish);3;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;181253
1;1640022017130;20/12/2021 17:40:17;1640022018163;2;20/12/2021 19:40:18;55551;22;questionnaire-79hv;;18152115;BLIND;5354577;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1536x722;Openminded Chunk;Heuristic reasoning (Finnish);3;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;339074
1;1639744430470;17/12/2021 12:33:50;1639744430271;2;17/12/2021 14:33:50;55551;22;questionnaire-79hv;;18091144;BLIND;5336084;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.1;1440x900;1140x731;Openminded Chunk;Heuristic reasoning (Finnish);3;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Herra F. sai sydänkohtauksen;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;204039
1;1639594489616;15/12/2021 18:54:49;1639594489669;2;15/12/2021 20:54:49;55551;22;questionnaire-79hv;;18031925;BLIND;5320807;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1920x1080;1920x899;Openminded Chunk;Heuristic reasoning (Finnish);3;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kuudes lapsi on tyttö;;1;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Lääkehoitoa;;1;Huomenna luultavasti sataa;;1;Tyttö;;2;276573
1;1639471014789;14/12/2021 08:36:54;1639471014465;2;14/12/2021 10:36:54;55551;22;questionnaire-79hv;;17984121;BLIND;5305503;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 95.0;1024x576;1024x474;Openminded Chunk;Heuristic reasoning (Finnish);3;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Tyttö;;2;366859
1;1639395973942;13/12/2021 11:46:13;1639395973875;1;13/12/2021 12:46:13;55551;22;questionnaire-79hv;;17964226;BLIND;5298015;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 96.0.4664.93;1920x1080;1920x924;Openminded Chunk;Heuristic reasoning (Finnish);3;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F.:llä on suuri perhe;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;311668
1;1639340950450;12/12/2021 20:29:10;1639340950340;2;12/12/2021 22:29:10;55551;22;questionnaire-79hv;;17956651;BLIND;5294346;;live;;;computer;Desktop or Laptop;Linux x86_64;Firefox 94.0;1920x1080;1920x966;Science Chunk;Heuristic reasoning (Finnish);3;KLJMINHAGBFCED;Decision Chunk;Science Chunk;;;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Lääkehoitoa;;1;Huomenna luultavasti sataa;;1;Tyttö;;2;223993
1;1639238853912;11/12/2021 16:07:33;1639238853526;2;11/12/2021 18:07:33;55551;22;questionnaire-79hv;;17941685;BLIND;5292007;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;960x485;Openminded Chunk;Heuristic reasoning (Finnish);3;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Lääkehoitoa;;1;On mahdotonta sanoa sataako huomenna vai ei;;2;Tyttö;;2;299100
1;1639209296885;11/12/2021 07:54:56;1639209293486;2;11/12/2021 09:54:53;55551;22;questionnaire-79hv;;17936618;BLIND;5290491;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x714;Openminded Chunk;Heuristic reasoning (Finnish);3;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Tyttö;;2;153842
1;1639161339830;10/12/2021 18:35:39;1639161339729;2;10/12/2021 20:35:39;55551;22;questionnaire-79hv;;17926956;BLIND;5287907;;complete;;;computer;Desktop or Laptop;Mac OS 10.13.6;Safari 13.1.2;1920x1080;1324x994;Openminded Chunk;Heuristic reasoning (Finnish);3;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna sataa;;3;Kumpikin on yhtä todennäköistä;;3;419387
1;1639133215616;10/12/2021 10:46:55;1639133215542;2;10/12/2021 12:46:55;55551;22;questionnaire-79hv;;17909224;BLIND;5282634;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.93;1536x864;1536x754;Reasoning Chunk;Heuristic reasoning (Finnish);3;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;101116
1;1638963166699;08/12/2021 11:32:46;1638963166613;2;08/12/2021 13:32:46;55551;22;questionnaire-79hv;;17840314;BLIND;5258209;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x955;Openminded Chunk;Heuristic reasoning (Finnish);3;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;370500
1;1638350765449;01/12/2021 09:26:05;1638350765306;2;01/12/2021 11:26:05;55551;22;questionnaire-79hv;;17612022;BLIND;5201242;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1920x1080;1920x909;Openminded Chunk;Heuristic reasoning (Finnish);3;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;93751
1;1638275304351;30/11/2021 12:28:24;1638275322736;2;30/11/2021 14:28:42;55551;22;questionnaire-79hv;;17586163;BLIND;5192188;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 94.0;1600x900;1384x775;Openminded Chunk;Heuristic reasoning (Finnish);3;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Kumpikin on yhtä todennäköistä;;3;215295
1;1638269614020;30/11/2021 10:53:34;1638269704195;2;30/11/2021 12:55:04;55551;22;questionnaire-79hv;;17582070;BLIND;5191578;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1920x1080;1920x937;Openminded Chunk;Heuristic reasoning (Finnish);3;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F.:llä on suuri perhe;Kumpikin on yhtä tehokas;;3;On mahdotonta sanoa sataako huomenna vai ei;;2;Tyttö;;2;444447
1;1638232011152;30/11/2021 00:26:51;1638232011013;2;30/11/2021 02:26:51;55551;22;questionnaire-79hv;;17574100;BLIND;5189349;;live;;;computer;Desktop or Laptop;Ubuntu undefined;Firefox 94.0;1600x900;1310x723;Openminded Chunk;Heuristic reasoning (Finnish);3;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kumpikin on yhtä todennäköistä;;3;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Kognitiivis-behavioraalista terapiaa;;2;Huomenna luultavasti sataa;;1;Tyttö;;2;552489
1;1638047656938;27/11/2021 21:14:16;1638047657719;2;27/11/2021 23:14:17;55551;22;questionnaire-79hv;;17526813;BLIND;5175309;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.45;1280x720;1280x577;Openminded Chunk;Heuristic reasoning (Finnish);3;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kuudes lapsi on tyttö;;1;Kummatkin sarjat ovat yhtä todennäköisiä;;3;Herra F. on yli 55-vuotias ja on saanut sydänkohtauksen;Herra F. sai sydänkohtauksen;Herra F.:llä on suuri perhe;Kognitiivis-behavioraalista terapiaa;;2;On mahdotonta sanoa sataako huomenna vai ei;;2;Tyttö;;2;104728
